number,address,phone,build_year
70,Aşgabat şäheriniň Bekrewe ýaşaýyş toplumynyň Parahat köçesi,müdir: 37-02-35 kätip-nobatçy: 37-02-37,1969ý
71,Aşgabat şäheriniň Dostluk köçesiniň 2-nji geçelgesiniň 9-njy jaýy,kätip: 76-30-88 nobatçy: 76-35-23,2002ý
72,Bitarap Türkmenistan şaýolunyň 565-nji jaýy,müdir: 23-88-50 kätip-nobatçy: 23-88-51,2003ý
73,Büzmeýin etrabynyň Ýanbaş ýaşaýyş toplumynyň 2230/5 köçesiniň 32-nji jaýy,kätip-nobatçy: 33-91-67,1974ý
74,Bitarap Türkmenistan şaýolunyň 565-nji jaýy,müdir: 95-10-73 kätip: 95-10-8495-10-78 95-10-71,2007ý
75,1970-nji köçäniň 9-njy jaýy,48-89-10-mekdep müdiri 48-89-11-nobatçy 48-89-12-kätip 48-89-14-müdiriň okuw işleri boýunça orunbasary 48-89-25-hojalyk müdiri,2007ý
76,Oguzhan köçesi (1957) 150-njy jaýy,müdir: 95-52-95 nobatçy: 95-52-94,2008ý
77,Aşgabat şäher Bitarap Türkmenistan şaýoly 98-nji jaýy,21-70-24 21-75-3221-70-25 21-75-3121-75-30 21-75-29,2008ý
78,Şor ýaşaýyş toplumynyň Ahal köçesiniň 6-njy jaýy,müdir: 74-31-07 kätip: 74-31-05,2007ý
79,Ankara köçesiniň 140-njy jaýy,müdir: 47-70-44 kätip: 47-70-46 nobatçy: 47-71-94,2009ý
80,Bitarap Türkmenistan şaýolynyň 580-nji jaýy,müdir: 75-17-57 kätip-nobatçy: 75-17-58,2009ý
81,Bitarap Türkmenistan şaýolunyň 95-nji jaýy,müdir: 21-85-97 kätip-nobatçy: 21-80-13 21-85-98,2009ý
82,Gurbansoltan eje şaýolunyň 366-njy jaýy,müdir: 36-52-85 kätip-nobatçy: 36-52-84,2009ý
83,Ankara köçesiniň 1946-njy köçesiniň 123-nji jaýy,müdir: 47-79-70kätip: 47-79-60nobatçy: 47-79-50,2009ý
84,Sahy Jepbarow köçesiniň ugrunda,müdir: 48-05-51kätip: 48-06-51nobatçy: 48-06-52,2010ý
85,Sahy Jepbarow (1943) 37-nji jaýy,müdir: 48-33-50 kätip: 48-21-85nobatçy: 48-33-40,2011ý
86,Aşgabat şäheriniň A.Nyýazow şaýolunyň 15-nji jaýy,kätip: 28-08-40 nobatçy: 28-08-26,1987ý
87,Aşgabat şäheriniň Oguzhan köçesiniň 13-nji jaýy,müdir: 49-04-15 kätip: 49-48-02 nobatçy: 49-14-20,1985ý
88,Parahat 4 ýaşaýyş toplumynyň 22-nji jaýy,Müdir: 47-38-45 kätip nobatçy: 47-38-76,2012ý
89,Şatlyk köçesiniň 143-nji jaýy,müdir: 48-24-83 kätip: 48-24-82 nobatçy: 48-24-85,2012ý
90,Sahy Jepbarow köçesiniň 47-nji jaýy,müdir: 48-24-88 kätip nobatçy: 48-24-86,2012ý
91,Aşgabat şäheriniň Büzmeýin etrabynyň Ýedigen köçesiniň 1- jaýy,Kätip nobatçy: 33-39-90,1962ý
92,Aşgabat şäheriniň Büzmeýin etrabynyň Altyn nesil köçesiniň 2- jaýy,Müdir: 33-11-90 332242,1951ý 1957ý 1984ý
93,Aşgabat şäheriniň Büzmeýin etrbynyň Okdirow köçesiniň 36-jaýy,kätip: 35-60-97,1992ý
94,Büzmeýin etrabynyň Güneş ýaşaýyş toplumynyň Diýar köçesinde 10-njy jaýy,kätip: 35-32-83,1994ý
95,Büzmeýin etrabynyň Senagat köçesiniň 14-nji jaýy,Kätip nobatçy: 33-49-16,1957ý
96,Büzmeýin etrabynyň Ahal şaýoly köçesiniň 10/1-nji jaýy,Kätip nobatçy: 35-77-35,1988ý
97,Aşgabat şäheriniň Büzmeýin etrabynyň Ýaşlar köçesiniň 1-nji jaýy,Kätip nobatçy: 33-00-86,1974ý 2008ý
98,Büzmeýin etrabynyň Güdogar köçesi,müdir 35-69-67kätip-nobatçy 35-67-61,2010ý
99,Büzmeýin etrabynyň Büzmeýin ýaşaýyş toplumynyň Köpetdag köçesiniň 22/1 jaýy,kätip: 33-77-42 okuw müdir nobatçy: 337743,2013ý
100,Ýalkym ýaşaýyş toplumynyň H.Hojamyrat köçesiniň 59-njy jaýy,Kätip nobatçy: 32-73-68,1966ý
101,Büzmeýin etrabynyň Gurtly ýaşaýyş toplumynyň Gurtly köçesiniň 1-nji jaýy,Kätip nobatçy: 24-21-27,1976ý
